     n size     역정렬     순정렬		랜덤
        0    0.000000    0.000000    0.000000
       10    0.000000    0.000000    0.000001
       20    0.000001    0.000001    0.000002
       30    0.000003    0.000001    0.000004
       40    0.000005    0.000002    0.000006
       50    0.000008    0.000004    0.000008
       60    0.000010    0.000005    0.000010
       70    0.000016    0.000006    0.000015
       80    0.000018    0.000009    0.000016
       90    0.000023    0.000010    0.000020
      100    0.000029    0.000014    0.000023
      200    0.000107    0.000049    0.000066
      300    0.000256    0.000116    0.000148
      400    0.000427    0.000178    0.000207
      500    0.000678    0.000234    0.000314
      600    0.000985    0.000391    0.000458
      700    0.001312    0.000501    0.000607
      800    0.001564    0.000740    0.000808
      900    0.002155    0.000895    0.001011
     1000    0.002669    0.001101    0.001198
     1100    0.003553    0.001314    0.001458
     1200    0.004566    0.001742    0.001531
     1300    0.004841    0.001845    0.002060
     1400    0.004726    0.002014    0.002188
     1500    0.005731    0.002509    0.002358
     1600    0.007049    0.002849    0.003099
     1700    0.007812    0.003267    0.003292
     1800    0.008556    0.003509    0.003743
     1900    0.009524    0.004162    0.004328
     2000    0.009835    0.004333    0.004518
