     n    repetitions      time
     0    16781261      0.000000
    10     3077666      0.000000
    20      793586      0.000001
    30      382121      0.000003
    40      212641      0.000005
    50      146419      0.000007
    60       87930      0.000011
    70       63344      0.000016
    80       52329      0.000019
    90       23554      0.000042
   100       17368      0.000058
   200        4367      0.000229
   300        1900      0.000526
   400        1088      0.000919
   500         696      0.001437
   600         478      0.002094
   700         348      0.002876
   800         272      0.003676
   900         211      0.004754
  1000         173      0.005809
  1100         139      0.007237
  1200         118      0.008542
  1300         100      0.010080
  1400          87      0.011609
  1500          74      0.013527
  1600          66      0.015364
  1700          60      0.016917
  1800          53      0.019132
  1900          46      0.021891
  2000          43      0.023698
