     n      time
     0   0.000000
    10   0.000000
    20   0.000000
    30   0.001000
    40   0.000000
    50   0.000000
    60   0.000000
    70   0.000000
    80   0.000000
    90   0.000000
   100   0.000000
   200   0.000000
   300   0.001000
   400   0.000000
   500   0.001000
   600   0.001000
   700   0.002000
   800   0.002000
   900   0.002000
  1000   0.003000
  1100   0.003000
  1200   0.005000
  1300   0.005000
  1400   0.004000
  1500   0.006000
  1600   0.008000
  1700   0.007000
  1800   0.008000
  1900   0.008000
  2000   0.008000
