     n    repetitions      time
     0    15634297      0.000000
    10     2986983      0.000000
    20      733625      0.000001
    30      366723      0.000003
    40      194843      0.000005
    50      150484      0.000007
    60       86134      0.000012
    70       69799      0.000014
    80       49194      0.000020
    90       40104      0.000025
   100       31840      0.000031
   200        8416      0.000119
   300        3892      0.000257
   400        2020      0.000495
   500        1398      0.000715
   600        1005      0.000996
   700         735      0.001362
   800         632      0.001582
   900         479      0.002088
  1000         374      0.002674
  1100         351      0.002852
  1200         247      0.004057
  1300         229      0.004380
  1400         189      0.005307
  1500         170      0.005888
  1600         140      0.007179
  1700         133      0.007519
  1800         131      0.007664
  1900         112      0.008982
  2000         106      0.009443
