     n size     역정렬     순정렬		랜덤
        0    0.000000    0.000000    0.000000
       10    0.000000    0.000000    0.000001
       20    0.000001    0.000001    0.000002
       30    0.000004    0.000002    0.000009
       40    0.000010    0.000005    0.000013
       50    0.000015    0.000007    0.000018
       60    0.000022    0.000010    0.000023
       70    0.000029    0.000014    0.000025
       80    0.000037    0.000017    0.000033
       90    0.000047    0.000020    0.000037
      100    0.000056    0.000026    0.000043
      200    0.000225    0.000099    0.000142
      300    0.000522    0.000223    0.000285
      400    0.000924    0.000386    0.000482
      500    0.001429    0.000591    0.000711
      600    0.002094    0.000962    0.001258
      700    0.003141    0.001159    0.001319
      800    0.003640    0.001524    0.001717
      900    0.004634    0.001938    0.002130
     1000    0.005726    0.002361    0.002593
     1100    0.006986    0.002863    0.003135
     1200    0.008238    0.003423    0.003667
     1300    0.009882    0.004000    0.004323
     1400    0.011200    0.004678    0.004917
     1500    0.013000    0.005312    0.005982
     1600    0.014681    0.006073    0.006376
     1700    0.016783    0.006890    0.007230
     1800    0.018418    0.007708    0.008000
     1900    0.020653    0.008517    0.009009
     2000    0.022909    0.010309    0.010204
